  分治：12 块 144 对，可行 40 对，整块淘汰掉 0 格
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
全局阶段：固定 0 条边，起点候选 50288 / 50288 (100.0%)
adaptive PROPDEPTH=2 (fixed 0 / 71581 edges; 第一层存活率>=SURVDEEP%再升深层)
T1 sh7 cell=(20,0) PROBE0 nodes=52
T15 sh9 cell=(63,47) PROBE0 nodes=243
T15 sh8 cell=(144,104) PROBE0 nodes=196
T15 sh17 cell=(101,93) PROBE0 nodes=45
T15 sh16 cell=(179,61) PROBE0 nodes=206
T15 sh18 cell=(243,17) PROBE0 nodes=619
T15 sh5 cell=(128,118) PROBE0 nodes=264
T15 sh13 cell=(196,156) PROBE0 nodes=491
T15 sh23 cell=(252,90) PROBE0 nodes=331
T15 sh10 cell=(61,39) PROBE0 nodes=300
T15 sh7 cell=(125,219) PROBE0 nodes=435
T15 sh14 cell=(256,98) PROBE0 nodes=623
T15 sh11 cell=(271,117) PROBE0 nodes=592
T15 sh17 cell=(130,94) PROBE0 nodes=369
T15 sh10 cell=(64,40) PROBE0 nodes=318
T15 sh8 cell=(83,105) PROBE0 nodes=266
T15 sh18 cell=(166,18) PROBE0 nodes=292
T15 sh15 cell=(60,46) PROBE0 nodes=407
T15 sh5 cell=(176,118) PROBE0 nodes=479
T15 sh11 cell=(64,118) PROBE0 nodes=161
T15 sh7 cell=(94,220) PROBE0 nodes=163
T15 sh8 cell=(141,107) PROBE0 nodes=72
T15 sh16 cell=(175,75) PROBE0 nodes=257
T15 sh6 cell=(79,17) PROBE0 nodes=430
T15 sh24 cell=(259,35) PROBE0 nodes=489
T15 sh9 cell=(189,47) PROBE0 nodes=559
T15 sh19 cell=(230,218) PROBE0 nodes=254
T15 sh23 cell=(70,92) PROBE0 nodes=314
T15 sh12 cell=(70,40) PROBE0 nodes=328
T15 sh17 cell=(246,96) PROBE0 nodes=369
T15 sh8 cell=(126,108) PROBE0 nodes=212
T15 sh13 cell=(195,157) PROBE0 nodes=596
T15 sh25 cell=(181,247) PROBE0 nodes=446
T15 sh16 cell=(44,112) PROBE0 nodes=412
T15 sh5 cell=(115,119) PROBE0 nodes=515
T15 sh14 cell=(236,100) PROBE0 nodes=145
T15 sh8 cell=(140,110) PROBE0 nodes=78
T15 sh11 cell=(274,118) PROBE0 nodes=604
T15 sh1 cell=(126,192) PROBE0 nodes=98
T15 sh0 cell=(236,42) PROBE0 nodes=222
T15 sh7 cell=(207,223) PROBE0 nodes=595
T15 sh22 cell=(242,218) PROBE0 nodes=289
T15 sh16 cell=(179,247) PROBE0 nodes=337
T15 sh13 cell=(185,159) PROBE0 nodes=279
T15 sh9 cell=(243,49) PROBE0 nodes=176
T15 sh16 cell=(173,1) PROBE0 nodes=148
T15 sh6 cell=(244,20) PROBE0 nodes=639
T15 sh10 cell=(245,43) PROBE0 nodes=176
T15 sh24 cell=(172,36) PROBE0 nodes=422
T15 sh23 cell=(264,92) PROBE0 nodes=600
T15 sh10 cell=(59,45) PROBE0 nodes=216
T15 sh16 cell=(179,3) PROBE0 nodes=341
T15 sh8 cell=(20,112) PROBE0 nodes=466
T15 sh19 cell=(63,223) PROBE0 nodes=214
T15 sh25 cell=(35,249) PROBE0 nodes=596
T15 sh4 cell=(150,268) PROBE0 nodes=355
T15 sh24 cell=(240,36) PROBE0 nodes=354
T15 sh18 cell=(60,22) PROBE0 nodes=253
T15 sh6 cell=(139,23) PROBE0 nodes=261
T15 sh16 cell=(66,6) PROBE0 nodes=37
T15 sh11 cell=(138,122) PROBE0 nodes=339
T15 sh21 cell=(142,40) PROBE0 nodes=289
T15 sh22 cell=(241,219) PROBE0 nodes=236
T15 sh20 cell=(71,133) PROBE0 nodes=166
T15 sh19 cell=(171,227) PROBE0 nodes=148
T15 sh14 cell=(255,101) PROBE0 nodes=229
T15 sh17 cell=(251,99) PROBE0 nodes=511
T15 sh7 cell=(19,229) PROBE0 nodes=44
T15 sh8 cell=(125,113) PROBE0 nodes=473
T15 sh14 cell=(232,102) PROBE0 nodes=91
T15 sh25 cell=(86,250) PROBE0 nodes=559
T15 sh4 cell=(131,73) PROBE0 nodes=15
T15 sh6 cell=(245,23) PROBE0 nodes=594
T15 sh2 cell=(98,84) PROBE0 nodes=72
T15 sh12 cell=(53,43) PROBE0 nodes=110
T15 sh15 cell=(255,49) PROBE0 nodes=349
T15 sh4 cell=(83,253) PROBE0 nodes=228
T15 sh2 cell=(164,84) PROBE0 nodes=185
T15 sh23 cell=(231,95) PROBE0 nodes=446
T15 sh3 cell=(181,65) PROBE0 nodes=203
T15 sh8 cell=(269,113) PROBE0 nodes=574
T15 sh16 cell=(258,10) PROBE0 nodes=372
T15 sh6 cell=(133,25) PROBE0 nodes=383
T15 sh5 cell=(124,122) PROBE0 nodes=271
T15 sh12 cell=(234,44) PROBE0 nodes=216
T15 sh0 cell=(70,44) PROBE0 nodes=342
T15 sh21 cell=(222,42) PROBE0 nodes=135
T15 sh16 cell=(106,16) PROBE0 nodes=346
T15 sh8 cell=(109,115) PROBE0 nodes=166
T15 sh14 cell=(144,108) PROBE0 nodes=69
T15 sh11 cell=(149,123) PROBE0 nodes=505
T15 sh13 cell=(10,164) PROBE0 nodes=266
T15 sh8 cell=(161,115) PROBE0 nodes=35
T15 sh22 cell=(238,226) PROBE0 nodes=60
T15 sh7 cell=(24,232) PROBE0 nodes=108
T15 sh16 cell=(256,18) PROBE0 nodes=553
T15 sh25 cell=(211,253) PROBE0 nodes=304
T15 sh23 cell=(258,96) PROBE0 nodes=390
T15 sh21 cell=(65,43) PROBE0 nodes=526
T15 sh16 cell=(128,20) PROBE0 nodes=99
T15 sh17 cell=(247,103) PROBE0 nodes=619
T15 sh18 cell=(260,32) PROBE0 nodes=494
T15 sh21 cell=(54,44) PROBE0 nodes=85
T15 sh11 cell=(147,125) PROBE0 nodes=283
T15 sh2 cell=(102,88) PROBE0 nodes=355
T15 sh14 cell=(258,108) PROBE0 nodes=641
T15 sh6 cell=(100,26) PROBE0 nodes=403
T15 sh16 cell=(138,30) PROBE0 nodes=151
T15 sh7 cell=(229,233) PROBE0 nodes=384
T15 sh2 cell=(43,89) PROBE0 nodes=79
T15 sh23 cell=(143,97) PROBE0 nodes=130
T15 sh10 cell=(246,56) PROBE0 nodes=326
T15 sh8 cell=(150,116) PROBE0 nodes=158
T15 sh18 cell=(239,33) PROBE0 nodes=282
T15 sh19 cell=(168,240) PROBE0 nodes=53
T15 sh14 cell=(139,109) PROBE0 nodes=155
T15 sh4 cell=(93,15) PROBE0 nodes=428
T15 sh25 cell=(82,256) PROBE0 nodes=391
T15 sh5 cell=(110,124) PROBE0 nodes=190
T15 sh17 cell=(50,104) PROBE0 nodes=365
T15 sh4 cell=(167,15) PROBE0 nodes=95
T15 sh8 cell=(136,118) PROBE0 nodes=93
T15 sh14 cell=(54,110) PROBE0 nodes=177
T15 sh16 cell=(91,31) PROBE0 nodes=551
T15 sh0 cell=(233,45) PROBE0 nodes=208
T15 sh17 cell=(112,104) PROBE0 nodes=97
T15 sh6 cell=(8,28) PROBE0 nodes=415
T15 sh5 cell=(115,127) PROBE0 nodes=88
T15 sh10 cell=(84,60) PROBE0 nodes=206
T15 sh25 cell=(213,259) PROBE0 nodes=317
T15 sh17 cell=(45,105) PROBE0 nodes=253
T15 sh12 cell=(21,47) PROBE0 nodes=326
T15 sh1 cell=(167,207) PROBE0 nodes=608
T15 sh23 cell=(259,97) PROBE0 nodes=399
T15 sh16 cell=(95,33) PROBE0 nodes=568
T15 sh17 cell=(105,105) PROBE0 nodes=136
T15 sh23 cell=(168,98) PROBE0 nodes=43
T15 sh15 cell=(86,52) PROBE0 nodes=303
T15 sh7 cell=(49,241) PROBE0 nodes=100
T15 sh16 cell=(65,37) PROBE0 nodes=306
T15 sh16 cell=(254,38) PROBE0 nodes=333
T15 sh12 cell=(75,47) PROBE0 nodes=355
T15 sh14 cell=(13,111) PROBE0 nodes=627
T15 sh4 cell=(23,27) PROBE0 nodes=465
T15 sh2 cell=(273,91) PROBE0 nodes=373
T15 sh16 cell=(245,39) PROBE0 nodes=403
T15 sh19 cell=(110,242) PROBE0 nodes=594
T15 sh5 cell=(114,134) PROBE0 nodes=109
T15 sh4 cell=(242,28) PROBE0 nodes=288
T15 sh5 cell=(205,139) PROBE0 nodes=32
T15 sh3 cell=(59,67) PROBE0 nodes=256
T15 sh24 cell=(24,40) PROBE0 nodes=341
T15 sh12 cell=(195,47) PROBE0 nodes=271
T15 sh17 cell=(51,109) PROBE0 nodes=184
T15 sh1 cell=(140,208) PROBE0 nodes=525
T15 sh14 cell=(116,112) PROBE0 nodes=506
T15 sh10 cell=(178,74) PROBE0 nodes=215
T15 sh17 cell=(145,109) PROBE0 nodes=100
T15 sh16 cell=(250,42) PROBE0 nodes=331
T15 sh6 cell=(19,29) PROBE0 nodes=452
T15 sh1 cell=(119,209) PROBE0 nodes=185
T15 sh16 cell=(224,46) PROBE0 nodes=100
T15 sh4 cell=(43,39) PROBE0 nodes=45
T15 sh8 cell=(143,123) PROBE0 nodes=597
T15 sh4 cell=(11,41) PROBE0 nodes=309
T15 sh10 cell=(147,75) PROBE0 nodes=421
T15 sh4 cell=(50,42) PROBE0 nodes=73
T15 sh16 cell=(81,47) PROBE0 nodes=350
T15 sh4 cell=(42,44) PROBE0 nodes=29
T15 sh9 cell=(66,56) PROBE0 nodes=484
T15 sh8 cell=(122,124) PROBE0 nodes=229
T15 sh14 cell=(270,112) PROBE0 nodes=581
T15 sh25 cell=(185,43) PROBE0 nodes=297
T15 sh16 cell=(253,47) PROBE0 nodes=170
T15 sh23 cell=(129,103) PROBE0 nodes=121
T15 sh14 cell=(137,113) PROBE0 nodes=77
T15 sh2 cell=(166,94) PROBE0 nodes=177
T15 sh18 cell=(256,38) PROBE0 nodes=634
T15 sh2 cell=(102,96) PROBE0 nodes=196
T15 sh1 cell=(126,210) PROBE0 nodes=519
T15 sh18 cell=(8,40) PROBE0 nodes=439
T15 sh25 cell=(57,83) PROBE0 nodes=562
T15 sh2 cell=(270,96) PROBE0 nodes=202
T15 sh14 cell=(129,115) PROBE0 nodes=456
T15 sh22 cell=(224,232) PROBE0 nodes=468
T15 sh2 cell=(110,98) PROBE0 nodes=31
T15 sh23 cell=(262,104) PROBE0 nodes=397
T15 sh6 cell=(149,29) PROBE0 nodes=171
T15 sh17 cell=(18,114) PROBE0 nodes=420
T15 sh4 cell=(169,55) PROBE0 nodes=510
T15 sh9 cell=(68,58) PROBE0 nodes=492
T15 sh14 cell=(50,116) PROBE0 nodes=244
T15 sh25 cell=(184,0) PROBE0 nodes=348
T15 sh18 cell=(138,40) PROBE0 nodes=398
T15 sh14 cell=(162,116) PROBE0 nodes=52
T15 sh17 cell=(67,115) PROBE0 nodes=307
T15 sh21 cell=(217,47) PROBE0 nodes=537
T15 sh25 cell=(163,13) PROBE0 nodes=484
T15 sh8 cell=(121,131) PROBE0 nodes=581
T15 sh14 cell=(70,118) PROBE0 nodes=154
T15 sh11 cell=(132,130) PROBE0 nodes=442
T15 sh16 cell=(243,53) PROBE0 nodes=384
T15 sh3 cell=(174,72) PROBE0 nodes=298
T15 sh25 cell=(83,17) PROBE0 nodes=436
T15 sh17 cell=(118,116) PROBE0 nodes=468
T15 sh14 cell=(142,118) PROBE0 nodes=129
T15 sh1 cell=(225,231) PROBE0 nodes=437
T15 sh25 cell=(78,18) PROBE0 nodes=428
T15 sh4 cell=(65,57) PROBE0 nodes=423
T15 sh11 cell=(127,131) PROBE0 nodes=485
T15 sh2 cell=(105,101) PROBE0 nodes=115
T15 sh24 cell=(136,44) PROBE0 nodes=544
T15 sh14 cell=(137,119) PROBE0 nodes=529
T15 sh19 cell=(32,252) PROBE0 nodes=525
T15 sh0 cell=(225,53) PROBE0 nodes=404
T15 sh25 cell=(76,38) PROBE0 nodes=342
T15 sh17 cell=(143,119) PROBE0 nodes=155
T15 sh20 cell=(88,144) PROBE0 nodes=510
T15 sh23 cell=(265,111) PROBE0 nodes=585
T15 sh5 cell=(144,146) PROBE0 nodes=620
T15 sh22 cell=(237,241) PROBE0 nodes=228
T15 sh13 cell=(264,184) PROBE0 nodes=486
T15 sh23 cell=(142,112) PROBE0 nodes=100
T15 sh17 cell=(122,120) PROBE0 nodes=465
T15 sh2 cell=(145,103) PROBE0 nodes=119
T15 sh12 cell=(255,53) PROBE0 nodes=351
T15 sh7 cell=(196,0) PROBE0 nodes=369
T15 sh17 cell=(161,121) PROBE0 nodes=126
T15 sh7 cell=(177,15) PROBE0 nodes=73
T15 sh0 cell=(68,54) PROBE0 nodes=509
T15 sh2 cell=(136,104) PROBE0 nodes=80
T15 sh19 cell=(85,257) PROBE0 nodes=541
T15 sh6 cell=(141,31) PROBE0 nodes=580
T15 sh11 cell=(133,133) PROBE0 nodes=487
T15 sh14 cell=(74,122) PROBE0 nodes=297
T15 sh9 cell=(79,61) PROBE0 nodes=434
T15 sh7 cell=(170,16) PROBE0 nodes=94
T15 sh19 cell=(73,265) PROBE0 nodes=290
T15 sh1 cell=(73,239) PROBE0 nodes=199
T15 sh25 cell=(16,44) PROBE0 nodes=313
T15 sh10 cell=(246,88) PROBE0 nodes=281
T15 sh7 cell=(107,17) PROBE0 nodes=347
T15 sh9 cell=(185,61) PROBE0 nodes=209
T15 sh18 cell=(61,43) PROBE0 nodes=434
T15 sh23 cell=(130,114) PROBE0 nodes=483
T15 sh16 cell=(165,67) PROBE0 nodes=174
T15 sh14 cell=(152,122) PROBE0 nodes=456
T15 sh2 cell=(109,107) PROBE0 nodes=217
T15 sh22 cell=(86,246) PROBE0 nodes=389
T15 sh7 cell=(177,27) PROBE0 nodes=294
T15 sh10 cell=(154,90) PROBE0 nodes=237
T15 sh16 cell=(153,71) PROBE0 nodes=208
T15 sh13 cell=(165,189) PROBE0 nodes=49
T15 sh22 cell=(161,253) PROBE0 nodes=136
T15 sh11 cell=(108,138) PROBE0 nodes=196
T15 sh16 cell=(84,74) PROBE0 nodes=104
T15 sh25 cell=(135,45) PROBE0 nodes=545
T15 sh4 cell=(267,69) PROBE0 nodes=15
T15 sh12 cell=(189,55) PROBE0 nodes=542
T15 sh25 cell=(239,45) PROBE0 nodes=128
T15 sh19 cell=(167,267) PROBE0 nodes=24
T15 sh23 cell=(268,114) PROBE0 nodes=613
T15 sh25 cell=(92,52) PROBE0 nodes=176
T15 sh18 cell=(139,43) PROBE0 nodes=548
T15 sh17 cell=(150,124) PROBE0 nodes=439
T15 sh6 cell=(152,32) PROBE0 nodes=601
T15 sh14 cell=(155,123) PROBE0 nodes=546
T15 sh7 cell=(196,40) PROBE0 nodes=92
T15 sh0 cell=(185,57) PROBE0 nodes=268
T15 sh23 cell=(132,116) PROBE0 nodes=254
T15 sh25 cell=(258,52) PROBE0 nodes=362
T15 sh18 cell=(248,44) PROBE0 nodes=340
T15 sh5 cell=(20,148) PROBE0 nodes=197
T15 sh22 cell=(32,256) PROBE0 nodes=499
T15 sh19 cell=(221,245) PROBE0 nodes=229
T15 sh24 cell=(84,48) PROBE0 nodes=263
T15 sh2 cell=(120,110) PROBE0 nodes=478
T15 sh7 cell=(62,42) PROBE0 nodes=382
T15 sh19 cell=(179,1) PROBE0 nodes=164
T15 sh13 cell=(246,194) PROBE0 nodes=348
T15 sh10 cell=(266,96) PROBE0 nodes=188
T15 sh8 cell=(126,144) PROBE0 nodes=541
T15 sh2 cell=(99,111) PROBE0 nodes=304
T15 sh7 cell=(174,62) PROBE0 nodes=479
T15 sh20 cell=(199,147) PROBE0 nodes=299
T15 sh22 cell=(31,263) PROBE0 nodes=557
T15 sh13 cell=(234,198) PROBE0 nodes=341
T15 sh2 cell=(137,111) PROBE0 nodes=52
T15 sh19 cell=(129,11) PROBE0 nodes=169
T15 sh5 cell=(89,149) PROBE0 nodes=475
T15 sh6 cell=(149,37) PROBE0 nodes=315
T15 sh3 cell=(76,78) PROBE0 nodes=463
T15 sh19 cell=(129,15) PROBE0 nodes=122
T15 sh18 cell=(192,46) PROBE0 nodes=273
T15 sh10 cell=(108,104) PROBE0 nodes=215
T15 sh11 cell=(91,141) PROBE0 nodes=555
T15 sh16 cell=(172,80) PROBE0 nodes=507
T15 sh3 cell=(146,78) PROBE0 nodes=221
T15 sh13 cell=(36,200) PROBE0 nodes=329
T15 sh19 cell=(260,18) PROBE0 nodes=287
T15 sh19 cell=(245,27) PROBE0 nodes=7
T15 sh16 cell=(154,84) PROBE0 nodes=203
T15 sh7 cell=(274,74) PROBE0 nodes=62
T15 sh10 cell=(127,105) PROBE0 nodes=67
T15 sh2 cell=(115,113) PROBE0 nodes=405
T15 sh1 cell=(158,258) PROBE0 nodes=176
T15 sh4 cell=(118,80) PROBE0 nodes=8
T15 sh4 cell=(96,82) PROBE0 nodes=71
T15 sh10 cell=(15,109) PROBE0 nodes=452
T15 sh0 cell=(83,59) PROBE0 nodes=375
T15 sh2 cell=(144,114) PROBE0 nodes=163
T15 sh20 cell=(117,149) PROBE0 nodes=178
T15 sh19 cell=(257,33) PROBE0 nodes=571
T15 sh20 cell=(107,151) PROBE0 nodes=260
T15 sh18 cell=(250,48) PROBE0 nodes=340
T15 sh13 cell=(89,203) PROBE0 nodes=344
T15 sh19 cell=(77,37) PROBE0 nodes=337
T15 sh3 cell=(168,80) PROBE0 nodes=284
T15 sh19 cell=(50,38) PROBE0 nodes=45
T15 sh22 cell=(124,270) PROBE0 nodes=459
T15 sh2 cell=(267,115) PROBE0 nodes=580
T15 sh17 cell=(62,136) PROBE0 nodes=72
T15 sh19 cell=(197,45) PROBE0 nodes=352
T15 sh10 cell=(120,116) PROBE0 nodes=176
T15 sh18 cell=(51,49) PROBE0 nodes=292
T15 sh15 cell=(81,63) PROBE0 nodes=163
T15 sh0 cell=(169,59) PROBE0 nodes=575
T15 sh2 cell=(123,117) PROBE0 nodes=306
T15 sh10 cell=(131,119) PROBE0 nodes=178
T15 sh19 cell=(53,49) PROBE0 nodes=305
T15 sh5 cell=(57,155) PROBE0 nodes=89
T15 sh20 cell=(106,152) PROBE0 nodes=169
T15 sh2 cell=(44,118) PROBE0 nodes=56
T15 sh1 cell=(84,68) PROBE0 nodes=163
T15 sh14 cell=(71,131) PROBE0 nodes=148
T15 sh11 cell=(137,143) PROBE0 nodes=637
T15 sh2 cell=(118,118) PROBE0 nodes=116
T15 sh22 cell=(60,0) PROBE0 nodes=254
T15 sh10 cell=(145,125) PROBE0 nodes=253
T15 sh23 cell=(114,132) PROBE0 nodes=151
T15 sh1 cell=(267,89) PROBE0 nodes=321
T15 sh6 cell=(24,44) PROBE0 nodes=20
T15 sh16 cell=(110,102) PROBE0 nodes=59
T15 sh1 cell=(181,5) PROBE0 nodes=181
T15 sh17 cell=(105,141) PROBE0 nodes=175
T15 sh4 cell=(161,93) PROBE0 nodes=124
T15 sh16 cell=(50,118) PROBE0 nodes=183
T15 sh10 cell=(133,127) PROBE0 nodes=415
T15 sh4 cell=(153,97) PROBE0 nodes=118
T15 sh18 cell=(254,50) PROBE0 nodes=367
T15 sh10 cell=(110,140) PROBE0 nodes=77
T15 sh14 cell=(141,133) PROBE0 nodes=431
T15 sh4 cell=(131,107) PROBE0 nodes=85
T15 sh1 cell=(64,14) PROBE0 nodes=387
T15 sh7 cell=(274,86) PROBE0 nodes=66
T15 sh16 cell=(150,120) PROBE0 nodes=474
T15 sh16 cell=(274,120) PROBE0 nodes=17
T15 sh0 cell=(274,60) PROBE0 nodes=495
T15 sh18 cell=(53,51) PROBE0 nodes=396
T15 sh1 cell=(39,35) PROBE0 nodes=30
T15 sh13 cell=(101,213) PROBE0 nodes=212
T15 sh4 cell=(274,108) PROBE0 nodes=565
T15 sh1 cell=(100,36) PROBE0 nodes=344
T15 sh3 cell=(240,86) PROBE0 nodes=462
T15 sh8 cell=(241,147) PROBE0 nodes=77
T15 sh1 cell=(25,39) PROBE0 nodes=344
T15 sh18 cell=(218,52) PROBE0 nodes=471
T15 sh8 cell=(242,148) PROBE0 nodes=58
T15 sh21 cell=(75,59) PROBE0 nodes=385
T15 sh25 cell=(240,72) PROBE0 nodes=79
T15 sh4 cell=(263,111) PROBE0 nodes=597
T15 sh12 cell=(25,61) PROBE0 nodes=391
T15 sh19 cell=(77,63) PROBE0 nodes=388
T15 sh13 cell=(127,215) PROBE0 nodes=484
T15 sh22 cell=(178,10) PROBE0 nodes=82
T15 sh25 cell=(85,73) PROBE0 nodes=103
T15 sh11 cell=(258,144) PROBE0 nodes=96
T15 sh22 cell=(170,14) PROBE0 nodes=93
T15 sh7 cell=(47,93) PROBE0 nodes=58
T15 sh4 cell=(108,114) PROBE0 nodes=87
T15 sh12 cell=(87,61) PROBE0 nodes=54
T15 sh2 cell=(146,120) PROBE0 nodes=589
T15 sh18 cell=(93,53) PROBE0 nodes=494
T15 sh22 cell=(95,23) PROBE0 nodes=438
T15 sh19 cell=(61,67) PROBE0 nodes=520
T15 sh4 cell=(109,117) PROBE0 nodes=108
T15 sh11 cell=(203,145) PROBE0 nodes=302
T15 sh4 cell=(131,125) PROBE0 nodes=24
T15 sh22 cell=(12,26) PROBE0 nodes=128
T15 sh25 cell=(267,73) PROBE0 nodes=311
T15 sh1 cell=(245,51) PROBE0 nodes=333
T15 sh18 cell=(52,54) PROBE0 nodes=272
T15 sh21 cell=(141,59) PROBE0 nodes=610
T15 sh2 cell=(48,122) PROBE0 nodes=368
T15 sh7 cell=(129,109) PROBE0 nodes=114
T15 sh12 cell=(249,61) PROBE0 nodes=345
T15 sh22 cell=(59,29) PROBE0 nodes=304
T15 sh1 cell=(250,54) PROBE0 nodes=172
T15 sh2 cell=(111,127) PROBE0 nodes=206
T15 sh25 cell=(135,89) PROBE0 nodes=176
T15 sh13 cell=(238,222) PROBE0 nodes=295
T15 sh22 cell=(44,30) PROBE0 nodes=245
T15 sh0 cell=(70,62) PROBE0 nodes=112
T15 sh7 cell=(128,110) PROBE0 nodes=567
T15 sh6 cell=(251,47) PROBE0 nodes=319
T15 sh14 cell=(170,142) PROBE0 nodes=336
T15 sh7 cell=(120,112) PROBE0 nodes=174
T15 sh11 cell=(245,147) PROBE0 nodes=124
T15 sh9 cell=(180,66) PROBE0 nodes=199
T15 sh22 cell=(13,31) PROBE0 nodes=541
T15 sh6 cell=(224,50) PROBE0 nodes=241
T15 sh7 cell=(69,113) PROBE0 nodes=175
T15 sh13 cell=(7,231) PROBE0 nodes=120
T15 sh17 cell=(195,147) PROBE0 nodes=249
T15 sh16 cell=(209,137) PROBE0 nodes=14
T15 sh16 cell=(254,138) PROBE0 nodes=14
T15 sh17 cell=(263,147) PROBE0 nodes=57
T15 sh6 cell=(59,53) PROBE0 nodes=244
T15 sh21 cell=(164,62) PROBE0 nodes=487
T15 sh5 cell=(9,163) PROBE0 nodes=129
T15 sh18 cell=(174,58) PROBE0 nodes=171
T15 sh6 cell=(246,54) PROBE0 nodes=330
T15 sh23 cell=(109,139) PROBE0 nodes=163
T15 sh7 cell=(169,115) PROBE0 nodes=419
T15 sh9 cell=(191,67) PROBE0 nodes=63
T15 sh18 cell=(71,59) PROBE0 nodes=225
T15 sh15 cell=(139,67) PROBE0 nodes=64
T15 sh11 cell=(19,155) PROBE0 nodes=622
T15 sh19 cell=(148,78) PROBE0 nodes=191
T15 sh1 cell=(244,68) PROBE0 nodes=52
T15 sh25 cell=(270,94) PROBE0 nodes=141
T15 sh7 cell=(14,116) PROBE0 nodes=456
T15 sh4 cell=(29,145) PROBE0 nodes=307
T15 sh7 cell=(112,118) PROBE0 nodes=66
T15 sh17 cell=(104,150) PROBE0 nodes=304
T15 sh19 cell=(237,91) PROBE0 nodes=264
T15 sh17 cell=(243,151) PROBE0 nodes=138
T15 sh24 cell=(173,57) PROBE0 nodes=439
T15 sh4 cell=(72,152) PROBE0 nodes=230
T15 sh19 cell=(234,92) PROBE0 nodes=268
T15 sh3 cell=(107,91) PROBE0 nodes=464
T15 sh10 cell=(86,162) PROBE0 nodes=377
T15 sh7 cell=(137,125) PROBE0 nodes=272
T15 sh19 cell=(105,93) PROBE0 nodes=40
T15 sh22 cell=(223,45) PROBE0 nodes=100
T15 sh19 cell=(106,94) PROBE0 nodes=39
T15 sh23 cell=(106,142) PROBE0 nodes=272
T15 sh17 cell=(21,153) PROBE0 nodes=378
T15 sh20 cell=(14,168) PROBE0 nodes=498
T15 sh6 cell=(171,55) PROBE0 nodes=574
T15 sh4 cell=(199,171) PROBE0 nodes=58
T15 sh7 cell=(196,144) PROBE0 nodes=15
T15 sh2 cell=(135,141) PROBE0 nodes=449
T15 sh1 cell=(96,80) PROBE0 nodes=184
T15 sh19 cell=(233,99) PROBE0 nodes=48
T15 sh25 cell=(263,115) PROBE0 nodes=594
T15 sh19 cell=(274,102) PROBE0 nodes=157
T15 sh25 cell=(55,121) PROBE0 nodes=37
T15 sh22 cell=(57,61) PROBE0 nodes=251
T15 sh5 cell=(268,168) PROBE0 nodes=40
T15 sh19 cell=(50,108) PROBE0 nodes=174
T15 sh9 cell=(155,69) PROBE0 nodes=235
T15 sh17 cell=(112,154) PROBE0 nodes=441
T15 sh11 cell=(215,159) PROBE0 nodes=532
T15 sh1 cell=(116,86) PROBE0 nodes=139
T15 sh23 cell=(196,146) PROBE0 nodes=442
T15 sh8 cell=(206,162) PROBE0 nodes=587
T15 sh0 cell=(144,64) PROBE0 nodes=76
T15 sh4 cell=(58,174) PROBE0 nodes=639
T15 sh23 cell=(127,147) PROBE0 nodes=542
T15 sh18 cell=(149,61) PROBE0 nodes=479
T15 sh2 cell=(110,144) PROBE0 nodes=558
T15 sh13 cell=(50,242) PROBE0 nodes=92
T15 sh14 cell=(20,150) PROBE0 nodes=295
T15 sh16 cell=(14,170) PROBE0 nodes=494
T15 sh2 cell=(234,144) PROBE0 nodes=43
T15 sh19 cell=(162,120) PROBE0 nodes=102
T15 sh1 cell=(274,94) PROBE0 nodes=151
T15 sh4 cell=(15,179) PROBE0 nodes=14
T15 sh2 cell=(105,145) PROBE0 nodes=191
T15 sh1 cell=(159,95) PROBE0 nodes=99
T15 sh4 cell=(159,183) PROBE0 nodes=40
T15 sh14 cell=(239,151) PROBE0 nodes=497
T15 sh1 cell=(160,98) PROBE0 nodes=103
T15 sh20 cell=(124,174) PROBE0 nodes=540
T15 sh2 cell=(243,145) PROBE0 nodes=61
T15 sh24 cell=(81,59) PROBE0 nodes=186
T15 sh18 cell=(160,62) PROBE0 nodes=495
T15 sh1 cell=(111,109) PROBE0 nodes=83
T15 sh3 cell=(172,94) PROBE0 nodes=300
T15 sh8 cell=(15,167) PROBE0 nodes=510
T15 sh20 cell=(198,174) PROBE0 nodes=124
T15 sh13 cell=(81,253) PROBE0 nodes=242
T15 sh1 cell=(102,110) PROBE0 nodes=117
T15 sh16 cell=(253,171) PROBE0 nodes=368
T15 sh6 cell=(181,59) PROBE0 nodes=156
T15 sh9 cell=(274,70) PROBE0 nodes=118
T15 sh22 cell=(159,77) PROBE0 nodes=162
T15 sh8 cell=(265,167) PROBE0 nodes=43
T15 sh4 cell=(224,186) PROBE0 nodes=196
T15 sh20 cell=(256,174) PROBE0 nodes=345
T15 sh4 cell=(69,191) PROBE0 nodes=16
T15 sh2 cell=(140,146) PROBE0 nodes=622
T15 sh20 cell=(209,175) PROBE0 nodes=32
T15 sh1 cell=(20,114) PROBE0 nodes=418
T15 sh15 cell=(87,71) PROBE0 nodes=271
T15 sh7 cell=(89,161) PROBE0 nodes=379
T15 sh16 cell=(125,173) PROBE0 nodes=288
T15 sh19 cell=(27,123) PROBE0 nodes=16
